PlantID,angles,Internodes
Col0_12_10_2018_E,120.0,16
Col0_12_10_2018_E,105.0,36
Col0_12_10_2018_E,75.0,33
Col0_12_10_2018_E,135.0,9
Col0_12_10_2018_E,145.0,32
Col0_12_10_2018_E,145.0,10
Col0_12_10_2018_E,150.0,13
Col0_12_10_2018_E,260.0,22
Col0_12_10_2018_E,215.0,1
Col0_12_10_2018_E,305.0,13
Col0_12_10_2018_E,120.0,4
Col0_12_10_2018_E,135.0,6
Col0_12_10_2018_E,160.0,22
Col0_12_10_2018_E,120.0,1
Col0_12_10_2018_E,290.0,15
Col0_12_10_2018_E,220.0,1
Col0_12_10_2018_E,305.0,16
Col0_12_10_2018_E,130.0,3
Col0_12_10_2018_E,140.0,6
Col0_12_10_2018_E,130.0,11
Col0_12_10_2018_E,290.0,9
Col0_12_10_2018_E,225.0,1
Col0_12_10_2018_E,270.0,15
Col0_12_10_2018_E,150.0,7
Col0_12_10_2018_E,135.0,5
Col0_12_10_2018_E,125.0,6
Col0_12_10_2018_E,155.0,4
Col0_12_10_2018_E,95.0,1
Col0_12_10_2018_E,145.0,4
Col0_26_10_2018_B,150.0,41
Col0_26_10_2018_B,75.0,32
Col0_26_10_2018_B,95.0,28
Col0_26_10_2018_B,75.0,17
Col0_26_10_2018_B,135.0,9
Col0_26_10_2018_B,140.0,9
Col0_26_10_2018_B,95.0,18
Col0_26_10_2018_B,135.0,7
Col0_26_10_2018_B,165.0,9
Col0_26_10_2018_B,110.0,11
Col0_26_10_2018_B,115.0,14
Col0_26_10_2018_B,170.0,11
Col0_26_10_2018_B,145.0,9
Col0_26_10_2018_B,125.0,9
Col0_26_10_2018_B,125.0,6
Col0_26_10_2018_B,125.0,15
Col0_26_10_2018_B,140.0,8
Col0_26_10_2018_B,125.0,4
Col0_26_10_2018_B,60.0,12
Col0_26_10_2018_B,185.0,3
Col0_26_10_2018_B,120.0,4
Col0_26_10_2018_B,155.0,5
Col0_26_10_2018_B,120.0,1
Col0_26_10_2018_A,115.0,21
Col0_26_10_2018_A,185.0,41
Col0_26_10_2018_A,250.0,36
Col0_26_10_2018_A,220.0,0
Col0_26_10_2018_A,315.0,15
Col0_26_10_2018_A,135.0,12
Col0_26_10_2018_A,155.0,15
Col0_26_10_2018_A,155.0,21
Col0_26_10_2018_A,135.0,4
Col0_26_10_2018_A,130.0,8
Col0_26_10_2018_A,205.0,19
Col0_26_10_2018_A,105.0,9
Col0_26_10_2018_A,125.0,11
Col0_26_10_2018_A,130.0,10
Col0_26_10_2018_A,145.0,7
Col0_26_10_2018_A,150.0,6
Col0_26_10_2018_A,165.0,7
Col0_26_10_2018_A,110.0,3
Col0_26_10_2018_A,150.0,1
